Wavelength,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
315.5,55.571,54.669,13.87,13.284,37.375,19.045
316,55.304,54.358,13.857,13.182,37.008,18.996
316.5,55.138,54.121,13.836,13.104,36.624,18.977
317,54.988,54.008,13.749,12.958,36.292,18.892
317.5,54.768,53.756,13.704,12.853,35.931,18.765
318,54.454,53.478,13.571,12.667,35.618,18.533
318.5,54.112,53.077,13.43,12.552,35.368,18.345
319,53.724,52.642,13.273,12.463,35.097,18.141
319.5,53.215,52.186,13.071,12.357,34.879,17.918
320,52.801,51.789,12.954,12.348,34.6,17.765
320.5,52.449,51.515,12.911,12.344,34.331,17.671
321,52.262,51.286,12.913,12.33,34.063,17.618
321.5,52.044,51.1,12.946,12.278,33.795,17.592
322,51.716,50.83,12.873,12.159,33.596,17.476
322.5,51.409,50.52,12.799,12.027,33.321,17.333
323,51.015,50.183,12.624,11.841,33.081,17.197
323.5,50.571,49.688,12.49,11.738,32.979,17.091
324,50.122,49.359,12.374,11.738,32.826,17.004
324.5,49.775,49.052,12.206,11.704,32.708,16.919
325,49.547,48.856,12.049,11.644,32.559,16.803
325.5,49.445,48.867,12.029,11.619,32.347,16.768
326,49.45,48.813,11.996,11.596,32.093,16.742
326.5,49.422,48.668,11.911,11.494,31.855,16.601
327,49.383,48.466,11.857,11.471,31.654,16.402
327.5,49.384,48.396,11.822,11.479,31.436,16.273
328,49.301,48.308,11.742,11.394,31.259,16.164
328.5,49.142,48.201,11.673,11.3,31.162,16.046
329,48.911,48.056,11.699,11.299,31.008,16.051
329.5,48.749,47.878,11.701,11.299,30.81,16.043
330,48.534,47.73,11.683,11.21,30.656,15.98
330.5,48.278,47.541,11.729,11.104,30.488,15.976
331,47.937,47.167,11.626,11.033,30.225,15.896
331.5,47.592,46.769,11.441,10.931,30.065,15.742
332,47.256,46.469,11.332,10.861,30.039,15.621
332.5,47.08,46.29,11.29,10.78,29.96,15.604
333,46.96,46.214,11.141,10.612,29.887,15.503
333.5,46.891,46.198,11.01,10.529,29.779,15.434
334,46.851,46.148,10.976,10.565,29.628,15.384
334.5,46.772,45.971,11.055,10.719,29.454,15.394
335,46.475,45.716,11.091,10.754,29.339,15.361
335.5,46.151,45.39,11.132,10.755,29.191,15.38
336,45.854,45.12,11.115,10.851,28.994,15.395
336.5,45.636,44.891,11.098,10.859,28.916,15.389
337,45.451,44.748,11.131,10.784,28.845,15.373
337.5,45.405,44.645,11.218,10.694,28.708,15.366
338,45.402,44.666,11.168,10.578,28.596,15.272
338.5,45.421,44.677,11.073,10.534,28.453,15.191
339,45.399,44.762,10.992,10.519,28.334,15.134
339.5,45.212,44.571,10.946,10.561,28.272,15.109
340,44.816,44.315,10.867,10.527,28.196,15.074
340.5,44.587,44.211,10.835,10.613,28.11,15.149
341,44.401,44.08,10.777,10.618,28.054,15.141
341.5,44.198,43.837,10.731,10.579,28.016,15.159
342,43.939,43.675,10.667,10.487,27.967,15.038
342.5,43.745,43.438,10.702,10.394,27.915,14.946
343,43.56,43.242,10.741,10.343,27.856,14.864
343.5,43.479,43.126,10.69,10.302,27.775,14.768
344,43.466,43.009,10.596,10.266,27.718,14.665
344.5,43.424,42.851,10.514,10.291,27.7,14.574
345,43.432,42.782,10.478,10.3,27.63,14.542
345.5,43.437,42.714,10.483,10.351,27.501,14.582
346,43.423,42.685,10.455,10.267,27.393,14.528
346.5,43.293,42.572,10.409,10.253,27.255,14.526
347,43.177,42.588,10.345,10.196,27.117,14.436
347.5,43.138,42.662,10.368,10.156,26.993,14.439
348,43.023,42.666,10.406,10.132,26.859,14.438
348.5,42.933,42.573,10.363,10.121,26.757,14.37
349,42.863,42.275,10.345,10.118,26.673,14.275
349.5,42.756,42.096,10.329,10.13,26.623,14.248
350,42.615,41.867,10.324,10.072,26.543,14.162
350.5,42.359,41.514,10.369,10.065,26.406,14.143
351,42.162,41.348,10.328,10.006,26.4,14.082
351.5,41.986,41.148,10.232,9.924,26.297,14.031
352,41.808,41.211,10.141,9.829,26.239,13.982
352.5,41.618,41.14,10.079,9.742,26.202,13.94
353,41.467,41.073,10.061,9.718,26.033,13.892
353.5,41.341,40.971,10.007,9.667,25.946,13.777
354,41.217,40.768,9.977,9.613,25.816,13.675
354.5,41.049,40.562,9.968,9.625,25.63,13.622
355,40.861,40.336,9.939,9.572,25.456,13.512
355.5,40.623,39.983,9.936,9.539,25.324,13.491
356,40.448,39.817,9.849,9.503,25.257,13.474
356.5,40.269,39.601,9.713,9.403,25.186,13.43
357,39.97,39.367,9.632,9.322,25.173,13.416
357.5,39.749,39.136,9.569,9.249,25.106,13.344
358,39.546,38.973,9.493,9.202,25.001,13.257
358.5,39.359,38.778,9.384,9.103,24.918,13.13
359,39.219,38.596,9.297,9.045,24.792,13.035
359.5,38.95,38.296,9.214,9.059,24.649,12.97
360,38.567,37.921,9.131,9.025,24.51,12.862
360.5,38.025,37.407,9.062,9.008,24.378,12.786
361,37.527,37.016,8.989,8.954,24.169,12.691
361.5,37.17,36.705,8.837,8.857,24.008,12.614
362,36.997,36.517,8.797,8.806,23.82,12.611
362.5,36.896,36.435,8.81,8.737,23.649,12.597
363,36.843,36.325,8.798,8.621,23.476,12.512
363.5,36.917,36.377,8.783,8.541,23.318,12.404
364,36.858,36.37,8.816,8.549,23.155,12.355
364.5,36.558,36.162,8.769,8.545,22.976,12.3
365,36.135,35.808,8.634,8.468,22.813,12.16
365.5,35.581,35.351,8.497,8.436,22.619,12.025
366,35.014,34.963,8.306,8.289,22.46,11.833
366.5,34.659,34.605,8.117,8.173,22.339,11.705
367,34.16,34.133,8.066,8.125,22.16,11.627
367.5,33.56,33.531,8.048,7.997,22.015,11.536
368,33.15,33.011,8.001,7.878,21.808,11.433
368.5,32.853,32.712,8.012,7.848,21.63,11.409
369,32.488,32.324,8.073,7.875,21.379,11.461
369.5,32.044,31.894,8.046,7.876,21.151,11.471
370,31.644,31.42,7.937,7.807,20.975,11.412
370.5,31.181,30.962,7.857,7.793,20.725,11.348
371,30.804,30.562,7.659,7.665,20.591,11.181
371.5,30.487,30.157,7.474,7.553,20.43,10.999
372,29.996,29.696,7.404,7.462,20.25,10.823
372.5,29.523,29.316,7.266,7.303,20.128,10.622
373,29.195,28.904,7.174,7.196,19.935,10.487
373.5,28.952,28.578,7.107,7.088,19.793,10.401
374,28.605,28.237,7.042,7.026,19.609,10.311
374.5,28.087,27.683,6.956,6.957,19.48,10.225
375,27.578,27.104,6.905,6.875,19.251,10.155
375.5,27.017,26.541,6.788,6.766,18.975,10.013
376,26.535,26.003,6.635,6.628,18.735,9.852
376.5,26.02,25.531,6.516,6.507,18.505,9.719
377,25.583,25.132,6.424,6.397,18.288,9.601
377.5,25.286,24.853,6.331,6.318,18.109,9.454
378,25.049,24.532,6.224,6.271,17.893,9.369
378.5,24.736,24.234,6.109,6.192,17.738,9.287
379,24.408,24.052,6.033,6.16,17.585,9.193
379.5,24.073,23.83,5.97,6.127,17.439,9.167
380,23.818,23.695,5.876,6.131,17.229,9.102
380.5,23.529,23.412,5.783,6.114,17.004,8.984
381,23.163,23.054,5.765,6.058,16.738,8.917
381.5,22.665,22.564,5.741,5.957,16.524,8.803
382,22.156,21.997,5.671,5.888,16.279,8.643
382.5,21.613,21.38,5.635,5.794,16.048,8.521
383,21.103,20.83,5.456,5.661,15.857,8.4
383.5,20.588,20.339,5.34,5.567,15.691,8.282
384,20.198,19.932,5.214,5.462,15.571,8.17
384.5,19.866,19.682,5.129,5.437,15.368,8.092
385,19.653,19.502,5.013,5.385,15.21,7.998
385.5,19.487,19.299,4.917,5.296,15.022,7.882
386,19.198,19.029,4.858,5.178,14.805,7.77
386.5,18.749,18.671,4.768,5.078,14.604,7.607
387,18.25,18.215,4.72,5.001,14.412,7.406
387.5,17.696,17.724,4.673,4.94,14.234,7.3
388,17.184,17.276,4.601,4.905,14.058,7.234
388.5,16.808,16.828,4.553,4.891,13.89,7.208
389,16.483,16.419,4.513,4.879,13.669,7.207
389.5,16.184,16.111,4.538,4.836,13.377,7.213
390,15.805,15.755,4.496,4.754,13.165,7.196
390.5,15.453,15.357,4.349,4.594,12.973,7.09
391,15.069,14.944,4.192,4.451,12.755,6.945
391.5,14.67,14.598,4.008,4.295,12.616,6.77
392,14.226,14.139,3.879,4.096,12.489,6.56
392.5,13.655,13.52,3.751,3.995,12.337,6.431
393,13.025,12.857,3.673,3.932,12.198,6.314
393.5,12.653,12.408,3.595,3.82,12.102,6.147
394,12.458,12.178,3.576,3.801,11.938,6.074
394.5,12.273,12.001,3.568,3.749,11.75,6.028
395,12.081,11.827,3.513,3.708,11.572,5.952
395.5,11.959,11.692,3.428,3.654,11.411,5.846
396,11.922,11.637,3.424,3.622,11.183,5.855
396.5,11.82,11.648,3.432,3.59,11.023,5.854
397,11.524,11.434,3.41,3.561,10.843,5.863
397.5,11.114,11.073,3.366,3.573,10.652,5.878
398,10.775,10.763,3.332,3.577,10.52,5.842
398.5,10.526,10.566,3.261,3.551,10.417,5.763
399,10.326,10.407,3.176,3.534,10.308,5.714
399.5,10.086,10.159,3.045,3.481,10.229,5.59
400,9.806,9.914,2.98,3.451,10.123,5.482
400.5,9.433,9.539,2.857,3.328,10.027,5.316
401,9.104,9.221,2.801,3.239,9.877,5.211
401.5,8.723,8.911,2.769,3.181,9.794,5.094
402,8.386,8.59,2.728,3.14,9.689,5.029
402.5,8.111,8.338,2.675,3.084,9.571,4.987
403,7.992,8.167,2.662,3.039,9.444,5.01
403.5,7.861,8.006,2.666,3.055,9.301,5.029
404,7.825,7.915,2.624,3.032,9.191,4.981
404.5,7.783,7.846,2.571,3.023,9.094,4.94
405,7.601,7.691,2.584,3.032,9.005,4.928
405.5,7.422,7.52,2.481,2.962,8.917,4.824
406,7.322,7.438,2.395,2.907,8.785,4.709
406.5,7.127,7.335,2.366,2.869,8.693,4.622
407,6.915,7.191,2.328,2.827,8.595,4.567
407.5,6.678,6.943,2.253,2.775,8.512,4.546
408,6.504,6.79,2.231,2.718,8.432,4.562
408.5,6.308,6.622,2.215,2.732,8.381,4.53
409,6.241,6.508,2.19,2.694,8.332,4.475
409.5,6.021,6.327,2.146,2.621,8.295,4.422
410,5.724,5.989,2.183,2.618,8.293,4.358
410.5,5.536,5.738,2.157,2.618,8.211,4.264
411,5.372,5.509,2.182,2.61,8.073,4.219
411.5,5.153,5.334,2.212,2.633,7.944,4.197
412,4.944,5.149,2.181,2.621,7.839,4.208
412.5,4.76,4.968,2.134,2.564,7.781,4.203
413,4.644,4.883,2.067,2.48,7.75,4.18
413.5,4.635,4.824,2.012,2.488,7.722,4.151
414,4.58,4.74,1.957,2.457,7.666,4.145
414.5,4.36,4.515,1.884,2.395,7.687,4.072
415,4.085,4.198,1.899,2.389,7.625,4.016
415.5,3.816,3.87,1.864,2.382,7.507,3.943
416,3.651,3.652,1.892,2.391,7.402,3.915
416.5,3.541,3.588,1.882,2.389,7.28,3.87
417,3.486,3.604,1.878,2.359,7.175,3.88
417.5,3.36,3.573,1.844,2.319,7.154,3.847
418,3.375,3.581,1.827,2.311,7.139,3.83
418.5,3.577,3.733,1.857,2.314,7.11,3.835
419,3.649,3.817,1.834,2.279,7.097,3.805
419.5,3.627,3.775,1.811,2.215,7.144,3.741
420,3.52,3.687,1.797,2.142,7.105,3.696
420.5,3.409,3.562,1.787,2.062,7.063,3.651
421,3.371,3.504,1.772,2.031,7.008,3.606
421.5,3.386,3.542,1.777,2.045,6.915,3.573
422,3.388,3.559,1.784,2.028,6.838,3.548
422.5,3.227,3.44,1.744,2.059,6.805,3.506
423,3.179,3.362,1.759,2.08,6.793,3.484
423.5,3.33,3.465,1.736,2.048,6.805,3.41
424,3.415,3.543,1.699,2.04,6.778,3.377
424.5,3.485,3.581,1.653,1.964,6.805,3.332
425,3.531,3.699,1.638,1.918,6.743,3.318
425.5,3.579,3.735,1.602,1.828,6.676,3.262
426,3.544,3.727,1.556,1.805,6.557,3.237
426.5,3.547,3.691,1.555,1.789,6.459,3.203
